Datum,CoV-Infektionen pro Woche,Cases,Intensiv-CoV-Patienten,Beatmete CoV-Patienten,Todesfälle mit CoV pro Woche,Personen mit Erstimpfung,Personen mit Vollschutz,Personen mit Auffrischung,Verhältnis Intensivpatienten/Infektionen (mit deltaT),Verhältnis beatmete Patienten/Infektionen (mit deltaT),Verhältnis Todesfälle/Infektionen (mit deltaT),"Intensiv-CoV-Patienten -10 days, 0:00:00d (peak matched)","Beatmete CoV-Patienten -11 days, 0:00:00d (peak matched)","Todesfälle mit CoV pro Woche -15 days, 0:00:00d (peak matched)"
2020-01-02,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-03,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-04,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-05,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-06,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-07,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-08,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-09,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-10,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-11,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-12,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-13,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-14,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-15,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-16,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-17,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-18,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-19,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-20,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-21,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-22,0.0,0.0,,,0.0,,,,,,,,,0.0
2020-01-23,2.8542152477886966e-06,1.8189113669955621e-07,,,0.0,,,,,,,,,0.0
2020-01-24,2.8542152477886966e-06,1.8189113669955621e-07,,,0.0,,,,,,,,,0.0
2020-01-25,2.8542152477886966e-06,1.8189113669955621e-07,,,0.0,,,,,,,,,0.0
2020-01-26,2.8542152477886966e-06,1.8189113669955621e-07,,,0.0,,,,,,,,,0.0
2020-01-27,2.8542152477886966e-06,1.8189113669955621e-07,,,0.0,,,,,,,,,0.0
2020-01-28,8.56264574336609e-06,5.456734100986687e-07,,,0.0,,,,,,,,,0.0
2020-01-29,1.4271076238943484e-05,9.094556834977811e-07,,,0.0,,,,,,,,,0.0
2020-01-30,1.1416860991154786e-05,9.094556834977811e-07,,,0.0,,,,,,,,,0.0
2020-01-31,2.2833721982309573e-05,1.637020230296006e-06,,,0.0,,,,,,,,,0.0
2020-02-01,2.5687937230098272e-05,1.8189113669955623e-06,,,0.0,,,,,,,,,0.0
2020-02-02,2.5687937230098272e-05,1.8189113669955623e-06,,,0.0,,,,,,,,,0.0
2020-02-03,2.8542152477886968e-05,2.0008025036951183e-06,,,0.0,,,,,,,,,0.0
2020-02-04,3.425058297346436e-05,2.7283670504933434e-06,,,0.0,,,,,,,,,0.0
2020-02-05,3.139636772567566e-05,2.9102581871928994e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-06,3.425058297346436e-05,3.092149323892456e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-07,2.5687937230098272e-05,3.274040460592012e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-08,2.2833721982309573e-05,3.274040460592012e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-09,2.2833721982309573e-05,3.274040460592012e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-10,1.9979506734520877e-05,3.274040460592012e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-11,1.4271076238943484e-05,3.6378227339911246e-06,,,0.0,,,,,,,,,0.0001452643811737362
2020-02-12,1.1416860991154786e-05,3.6378227339911246e-06,,,0.0,,,,,,,,,0.0
2020-02-13,8.56264574336609e-06,3.6378227339911246e-06,,,0.0,,,,,,,,,0.0
2020-02-14,5.708430495577393e-06,3.6378227339911246e-06,,,0.0,,,,,,,,,0.0
2020-02-15,5.708430495577393e-06,3.6378227339911246e-06,,,0.0,,,,,,,,,0.0
2020-02-16,5.708430495577393e-06,3.6378227339911246e-06,,,0.0,,,,,,,,,0.0
2020-02-17,8.56264574336609e-06,3.8197138706906806e-06,,,0.0,,,,,,,,,0.0
2020-02-18,5.708430495577393e-06,4.0016050073902365e-06,,,0.0,,,,,,,,,0.0002905287623474724
2020-02-19,5.708430495577393e-06,4.0016050073902365e-06,,,0.0,,,,,,,,,0.0004357931435212086
2020-02-20,1.1416860991154786e-05,4.365387280789349e-06,,,0.0001452643811737362,,,,,,,,,0.0010168506682161533
2020-02-21,1.1416860991154786e-05,4.365387280789349e-06,,,0.0001452643811737362,,,,,,,,,0.0015979081929110982
2020-02-22,1.1416860991154786e-05,4.365387280789349e-06,,,0.0001452643811737362,,,,,,,,,0.0017431725740848344
2020-02-23,1.1416860991154786e-05,4.365387280789349e-06,,,0.0001452643811737362,,,,,,,,,0.0027600232423009878
2020-02-24,1.1416860991154786e-05,4.547278417488905e-06,,,0.0001452643811737362,,,,,,,,,0.0033410807669959327
2020-02-25,1.712529148673218e-05,5.092951827587574e-06,,,0.0001452643811737362,,,,,,,,,0.004503195816385822
2020-02-26,3.7104798221253055e-05,6.366189784484468e-06,,,0.0001452643811737362,,,,,,,,,0.00610110400929692
2020-02-27,9.704331842481569e-05,1.054968592857426e-05,,,0.0,,,,,,,,,0.007844276583381755
2020-02-28,0.00023119143507088443,1.9098569353453404e-05,,,0.0,,,,,,,,,0.010168506682161535
2020-02-29,0.00029683838577002444,2.3282065497543195e-05,,,0.0,,,,,,,,,0.01220220801859384
2020-03-01,0.00039673591944262886,2.9648255282027666e-05,,,0.0,,,,,,,,,0.016269610691458453
2020-03-02,0.0005109045293541767,3.710579188670947e-05,,,0.0,,,,,,,,,0.022080185938407902
2020-03-03,0.0007420959644250612,5.238464736947219e-05,,,0.0,,,,,,,,,0.02977919814061592
2020-03-04,0.0011702282515933657,8.094155583130252e-05,,,0.0002905287623474724,,,,,,,,,0.0373329459616502
2020-03-05,0.0016354653369829231,0.00011477330725741998,,,0.0004357931435212086,,,,,,,,,0.0489540964555491
2020-03-06,0.002032201256425552,0.00014860505868353744,,,0.0010168506682161533,,,,,,,,,0.05984892504357931
2020-03-07,0.002371852870912407,0.00017443360009487442,,,0.0015979081929110982,,,,,,,,,0.06914584543869844
2020-03-08,0.0025659395077620383,0.00019316838717492872,,,0.0017431725740848344,,,,,,,,,0.0830912260313771
2020-03-09,0.003433620943089802,0.00025592082933627563,,,0.0027600232423009878,,,,,,,,,0.1011040092969204
2020-03-10,0.004894979149957615,0.0003643279468092111,,,0.0033410807669959327,,,,,,,,,0.12347472399767577
2020-03-11,0.006601799868135256,0.000501655755017376,,,0.004503195816385822,,,,,,,,,0.15296339337594422
2020-03-12,0.008899443142605157,0.0006819098714866363,,,0.00610110400929692,,,,,,,,,0.1773678094131319
2020-03-13,0.012535713368287956,0.0009474709310679884,,,0.007844276583381755,,,,,,,,,0.19959325973271355
2020-03-14,0.015849457270970632,0.0011844750821875102,,,0.010168506682161535,,,,,,,,,0.21223126089482858
2020-03-15,0.01835545825852911,0.0013629102872897748,,,0.01220220801859384,,,,,,,,,0.2319872167344567
2020-03-16,0.023179082027292006,0.0017330587504733716,,,0.016269610691458453,,,,,,,,,0.26307379430563627
2020-03-17,0.03011482507941854,0.002283461330126229,,,0.022080185938407902,,,,,,,,,0.2861708309122603
2020-03-18,0.03823506745937738,0.002938269422244631,,,0.02977919814061592,,,,,,,,,0.3079604880883207
2020-03-19,0.04698609140909753,0.0036762017638347307,,,0.0373329459616502,,,,,,,,,0.32728065078442764
2020-03-20,0.054375654685622464,0.004412678976331234,,,0.0489540964555491,,,,,,,,,0.3268448576409064
2020-03-21,0.06023821280458044,0.005023287522231644,,,0.05984892504357931,,,,,,,,,0.3294596165020337
2020-03-22,0.06390302518274113,0.005435270946856139,,,0.06914584543869844,,,,,,,,,0.33294596165020335
2020-03-23,0.06873806581249518,0.006113542995608784,,,0.0830912260313771,,,,,,,,,0.3268448576409064
2020-03-24,0.07403263509714321,0.007001353633839318,,,0.1011040092969204,,,,,,,,,0.3219058686809994
2020-03-25,0.07995798595155255,0.008033767725745999,,,0.12347472399767577,,,,,,,,,0.3086868099941894
2020-03-26,0.0852240130837227,0.00910728921454678,,,0.15296339337594422,,,,,,,,,0.2812318419523533
2020-03-27,0.09073550272720267,0.010194998212010127,,,0.1773678094131319,,,,,,,,,0.2748402091807089
2020-03-28,0.09462865232518645,0.011053706268368732,,,0.19959325973271355,,,,,,,,,0.27237071470075536
2020-03-29,0.09694342089114308,0.011613203404856566,,,0.21223126089482858,,,,,,,,,0.2537768739105171
2020-03-30,0.09804800219203731,0.01236186732351194,,,0.2319872167344567,,,,,,,,,0.23605461940732134
2020-03-31,0.1014102677539324,0.013463945720774551,,,0.26307379430563627,,,,,,,,,0.2199302730970366
2020-04-01,0.10306856681289762,0.014602038563103674,,,0.2861708309122603,,,,,,,,,0.2003195816385822
2020-04-02,0.10490668143247354,0.01579269794393897,,,0.3079604880883207,,,,,,,,,0.19552585705984893
2020-04-03,0.10551748349550033,0.01691933164465602,,,0.32728065078442764,,,,,,,,,0.1841952353282975
2020-04-04,0.10443573591658842,0.017709102960205492,,,0.3268448576409064,,,,,,,,,0.17722254503195817
2020-04-05,0.10289160546753473,0.018170196991738868,,,0.3294596165020337,,,,,,,,,0.17533410807669958
2020-04-06,0.10159008331454308,0.018835918552059246,,,0.33294596165020335,,,,,,,,,0.16385822196397443
2020-04-07,0.09910691604896692,0.019779751660393242,,,0.3268448576409064,,,,,,,,,0.14860546194073213
2020-04-08,0.09630122246039063,0.0207390455153467,,,0.3219058686809994,,,,,,,,,0.13785589773387566
2020-04-09,0.09162030945401717,0.021631403431994725,,,0.3086868099941894,,,,,,,,,0.12463683904706566
2020-04-10,0.08351433815029727,0.022241466304485036,,,0.2812318419523533,,,,,,,,,0.118390470656595
2020-04-11,0.07935003810377356,0.022765858451589856,,,0.2748402091807089,,,,,,,,,0.10546194073213248
2020-04-12,0.07743485967250734,0.02310490353039783,,,0.27237071470075536,,,,,,,,,0.09456711214410227
2020-04-13,0.07154946783156704,0.023395565566843718,,,0.2537768739105171,,,,,0.6767308030071871,,,0.5862068965517241,0.08643230679837303
2020-04-14,0.06376887706609506,0.023843563436534727,,,0.23605461940732134,,,,0.6581983250141874,0.7258017773409952,,0.43841485183862905,0.5603448275862069,0.07655432887855898
2020-04-15,0.058200303117659315,0.02444798768378735,,,0.2199302730970366,,,,0.6891678714541742,0.7870897338330599,0.441544561101822,0.41895751517315244,0.5545977011494253,0.06987216734456711
2020-04-16,0.053947522398454156,0.025069327806753035,,,0.2003195816385822,,,,0.7387444339986533,0.8188285623551315,0.4406489265606632,0.41627990003570153,0.5348020434227331,0.06464264962231261
2020-04-17,0.053062715671639664,0.025623004426866484,,,0.19552585705984893,,,,0.7327049202150057,0.8001770279758119,0.40145354731640037,0.40610496251338807,0.5140485312899106,0.05825101685066822
2020-04-18,0.050844990424107846,0.02600606716075575,,,0.1841952353282975,,,,0.7387826673781539,0.8081071686941452,0.4045291698110428,0.3923598714744734,0.49744572158365263,0.05621731551423591
2020-04-19,0.04944927916793917,0.026256167473717642,,,0.17722254503195817,,,,0.7312954609924307,0.7813171108135135,0.3777396510518167,0.3777222420564084,0.4677522349936143,0.05127832655432888
2020-04-20,0.0497689512756915,0.026567201317473883,,,0.17533410807669958,,,,0.7011879239900115,0.7588120247622512,0.33187332636067157,0.36451267404498394,0.45721583652618136,0.0457582800697269
2020-04-21,0.04896977100631067,0.026964269668889013,,,0.16385822196397443,,,,0.6714507669220031,0.7399601563721918,0.31689692474284886,0.3434487682970368,0.4386973180076628,0.04314352120859965
2020-04-22,0.04658650127440711,0.02741681481699751,,,0.14860546194073213,,,,0.6797551452618233,0.759133852089998,0.3077184188945947,0.3307747233131025,0.4281609195402299,0.03994770482277746
2020-04-23,0.04279895764059151,0.02779678540156288,,,0.13785589773387566,,,,0.7263345228000112,0.7911913083737743,0.3333494072172466,0.3247054623348804,0.4099616858237548,0.039511911679256245
2020-04-24,0.039542298042864604,0.028142924234702136,0.43841485183862905,0.5862068965517241,0.12463683904706566,,,,0.7675704306280313,0.8136686839354846,0.3443800950425871,0.3170296322741878,0.3895274584929757,0.03762347472399768
2020-04-25,0.037161882526208834,0.02837428976058397,0.41895751517315244,0.5603448275862069,0.118390470656595,,,,0.782706660126015,0.8139830992348976,0.36510602401111225,0.3038200642627633,0.3662196679438059,0.0373329459616502
2020-04-26,0.035243849879694825,0.02850215922968376,0.41627990003570153,0.5545977011494253,0.10546194073213248,,,,0.7855409896226223,0.8216155938223183,0.362315547142844,0.2891824348446983,0.3505747126436782,0.03515398024404416
2020-04-27,0.03355130023775613,0.028705331629377166,0.40610496251338807,0.5348020434227331,0.09456711214410227,,,,0.7951164294847831,0.80882710250345,0.35998775750390205,0.27865048197072473,0.328544061302682,0.03326554328878559
2020-04-28,0.0314877026136049,0.028970892688958517,0.3923598714744734,0.5140485312899106,0.08643230679837303,,,,0.7886091629746451,0.8266579629697255,0.36194009944086913,0.25937165298107817,0.31513409961685823,0.03137710633352702
2020-04-29,0.028467942881444462,0.029230997014438882,0.3777222420564084,0.49744572158365263,0.07655432887855898,,,,0.832040227668862,0.9041560815915143,0.3454479582405076,0.24741163870046412,0.3116219667943806,0.02716443927948867
2020-04-30,0.026664078844842006,0.029496012400610137,0.36451267404498394,0.4677522349936143,0.06987216734456711,,,,0.8947382691762908,0.9425751627342952,0.3408769392329754,0.24919671545876473,0.30427841634738184,0.025130737943056362
2020-05-01,0.023855531041017928,0.029663170355237026,0.3434487682970368,0.45721583652618136,0.06464264962231261,,,,0.9878985708131437,0.9883211879885896,0.37703708367994715,0.2461620849696537,0.28544061302681994,0.024694944799535153
