Date,betten_ges,betten_belegt,faelle_covid_aktuell,faelle_covid_aktuell_beatmet
2020-04-24,758,501,5,4
2020-04-25,756,507,6,4
2020-04-26,755,504,8,5
2020-04-27,757,494,6,5
2020-04-28,793,531,8,5
2020-04-29,793,540,6,5
2020-04-30,817,549,7,5
2020-05-01,804,539,4,3
2020-05-02,804,514,4,3
2020-05-03,831,536,4,3
2020-05-04,830,530,4,3
2020-05-05,821,566,5,3
2020-05-06,827,574,4,2
2020-05-07,821,590,5,3
2020-05-08,816,597,4,2
2020-05-09,831,590,3,1
2020-05-10,802,534,3,1
2020-05-11,791,535,3,1
2020-05-12,814,581,4,1
2020-05-13,815,588,5,1
2020-05-14,801,572,4,2
2020-05-15,818,594,5,2
2020-05-16,820,572,5,2
2020-05-17,824,536,5,2
2020-05-18,823,565,5,2
2020-05-19,822,567,5,2
2020-05-20,821,576,5,2
2020-05-21,821,563,5,2
2020-05-22,810,545,5,2
2020-05-23,815,576,3,1
2020-05-24,814,552,2,1
2020-05-25,817,550,2,1
2020-05-26,819,587,2,1
2020-05-27,818,599,2,1
2020-05-28,816,605,2,1
2020-05-29,814,603,2,1
2020-05-30,813,556,2,1
2020-05-31,822,555,2,1
2020-06-01,814,555,2,1
2020-06-02,850,600,2,1
2020-06-03,849,618,2,1
2020-06-04,852,623,2,1
2020-06-05,859,640,2,1
2020-06-06,848,608,1,1
2020-06-07,854,594,2,1
2020-06-08,841,595,2,1
2020-06-09,847,625,3,2
2020-06-10,852,634,3,2
2020-06-11,851,638,3,2
2020-06-12,850,612,2,1
2020-06-13,852,615,2,1
2020-06-14,849,583,2,1
2020-06-15,854,593,2,1
2020-06-16,848,619,2,1
2020-06-17,848,643,2,1
2020-06-18,852,641,2,1
2020-06-19,854,650,2,1
2020-06-20,856,628,2,1
2020-06-21,856,600,2,1
2020-06-22,857,582,2,1
2020-06-23,857,602,2,1
2020-06-24,855,597,2,1
2020-06-25,855,611,2,1
2020-06-26,852,626,2,1
2020-06-27,855,639,2,1
2020-06-28,863,616,2,1
2020-06-29,862,611,2,1
2020-06-30,855,646,3,1
2020-07-01,876,636,2,1
2020-07-02,882,625,2,1
2020-07-03,859,611,2,1
2020-07-04,855,608,2,0
2020-07-05,853,595,2,0
2020-07-06,859,597,2,0
2020-07-07,856,617,1,0
2020-07-08,862,618,1,0
2020-07-09,854,610,0,0
2020-07-10,860,619,0,0
2020-07-11,860,623,0,0
2020-07-12,860,620,0,0
2020-07-13,863,599,0,0
2020-07-14,865,620,0,0
2020-07-15,863,645,0,0
2020-07-16,854,653,0,0
2020-07-17,858,625,0,0
2020-07-18,860,621,0,0
2020-07-19,866,595,0,0
2020-07-20,859,602,0,0
2020-07-21,873,608,0,0
2020-07-22,861,629,0,0
2020-07-23,892,635,3,0
2020-07-24,885,644,0,0
2020-07-25,886,629,0,0
2020-07-26,879,597,0,0
2020-07-27,889,595,1,0
2020-07-28,890,628,0,0
2020-07-29,897,637,0,0
2020-07-30,903,629,0,0
2020-07-31,899,617,0,0
2020-08-01,898,627,0,0
2020-08-02,884,595,0,0
2020-08-03,892,591,0,0
2020-08-04,861,614,1,0
2020-08-05,865,641,2,0
2020-08-06,886,641,2,0
2020-08-07,879,648,0,0
2020-08-08,882,644,0,0
2020-08-09,880,643,0,0
2020-08-10,880,642,0,0
2020-08-11,829,611,0,0
2020-08-12,831,637,0,0
2020-08-13,830,621,0,0
2020-08-14,829,621,1,0
2020-08-15,831,600,3,0
2020-08-16,829,592,3,0
2020-08-17,833,604,2,0
2020-08-18,834,636,1,0
2020-08-19,833,625,1,0
2020-08-20,830,639,1,0
2020-08-21,824,623,1,0
2020-08-22,822,615,0,0
2020-08-23,821,585,0,0
2020-08-24,821,589,0,0
2020-08-25,821,627,0,0
2020-08-26,803,616,0,0
2020-08-27,805,608,0,0
